Johtajat
Johtajat, ylimmat virkamiehet ja jarjestojen johtajat  
311;Fysiikan, kemian ja teknisten alojen asiantuntijat 
3111;Luonnontieteen tekniset asiantuntijat    
3112;Rakentamisen asiantuntijat     
31121;Talonrakentamisen asiantuntijat     
31122;Maa- ja vesirakentamisen asiantuntijat   
31123;Kartoituksen ja maanmittauksen asiantuntijat   
3113;Sahkotekniikan asiantuntijat     
3114;Elektroniikan asiantuntijat     
3115;Konetekniikan asiantuntijat     
3116;Kemian prosessitekniikan asiantuntijat    
3117;Kaivosteollisuuden ja metallurgian asiantuntijat   
3118;Tekniset piirtajat     
3119;Muut fysiikan, kemian ja teknisten alojen asiantuntijat
312;Tyonjohtajat kaivos-, teollisuus- ja rakennustoiminnassa  
3121;Kaivostyonjohtajat      
3122;Teollisuuden tyonjohtajat     
3123;Rakennusalan tyonjohtajat     
313;Prosessinvalvonnan asiantuntijat     
3131;Voimalaitosten prosessinhoitajat     
3132;Jatteenpoltto- ja vedenpuhdistuslaitosten prosessinhoitajat   
3133;Kemianteollisuuden prosessinhoitajat     
3134;Oljy- ja maakaasujalostamon prosessinhoitajat   
3135;Metallien jalostuksen prosessinhoitajat    
3139;Muut prosessinvalvonnan asiantuntijat    
314;Biotieteiden asiantuntijat     
3141;Laborantit ym.     
3142;Maa- ja kalatalousteknikot    
3143;Metsatalousteknikot      
315;Laiva-, lento- ja satamaliikenteen paallikot ja ohjaajat
3151;Laivojen konepaallikot ja -mestarit    
3152;Vesiliikenteen peramiehet ja paallikot   
31521;Isojen alusten paallikot ja peramiehet  
31522;Pienten alusten paallikot    
31523;Satamaliikenteen ohjaajat ja satamakapteenit   
3153;Lentokapteenit ja -peramiehet     
3154;Lennonjohtajat      
3155;Lennonvalvonnan tekniset asiantuntijat    
Terveydenhuollon asiantuntijat 
321;Terveydenhuollon tekniset asiantuntijat    
3211;Laaketieteellisen kuvantamis- ja laitetekniikan asiantuntijat  
3212;Bioanalyytikot (terveydenhuolto)     
3213;Farmaseutit      
3214;Hammas- ja apuvalineteknikot    
32141;Hammasteknikot      
32142;Apuvalineteknikot      
322;Sairaanhoitajat, katilot ym.    
3221;Sairaanhoitajat ym.     
32211;Sairaanhoitajat      
32212;Terveydenhoitajat      
3222;Katilot      
323;Luontais- ja vaihtoehtohoitajat    
324;Seminologit ym.     
325;Muut terveydenhuollon asiantuntijat    
3251;Suuhygienistit      
3252;Potilas- ja terveystietojen kasittelijat   
3253;Terveysneuvojat      
3254;Optikot      
3255;Fysioterapeutit ym.     
3256;Avustavat hoitotyontekijat     
3257;Terveys- ja tyosuojelutarkastajat    
3258;Sairaankuljetuksen ensihoitajat     
3259;Muut muualla luokittelemattomat terveydenhuollon asiantuntijat  
32591;Toimintaterapeutit      
32592;Muut terapeutit     
Liike-elaman ja hallinnon asiantuntijat 
331;Rahoitus-, vakuutus- ja laskentatoimen asiantuntijat  
3311;Arvopaperi- ja valuuttakauppiaat    
3312;Luotto- ja laina-asiantuntijat    
3313;Kirjanpidon ja laskentatoimen asiantuntijat   
3314;Tilastointi- ja matematiikka-asiantuntijat    
3315;Arvioitsijat ja vahinkotarkastajat    
332;Myynti- ja ostoagentit    
3321;Vakuutusalan palvelumyyjat     
3322;Myyntiedustajat      
3323;Sisaanostajat      
3324;Kaupanvalittajat      
333;Yrityspalveluiden valittajat     
3331;Huolitsijat, tulli- ja laivanselvittajat   
3332;Konferenssi- ja tapahtumajarjestajat    
3333;Tyonvalittajat      
3334;Kiinteistonvalittajat ja isannoitsijat    
33341;Kiinteistonvalittajat      
33342;Isannoitsijat      
3339;Muut liike-elaman asiantuntijat    
334;Hallinnolliset ja erikoistuneet sihteerit   
3341;Toimistotyon esimiehet     
3342;Asianajosihteerit      
3343;Johdon sihteerit ja osastosihteerit   
3344;Toimistosihteerit (terveydenhuolto)     
335;Julkishallinnon valmistelu- ja valvontavirkamiehet   
3351;Tulli- ja rajavirkamiehet    
3352;Verovalmistelijat ja -tarkastajat     
3353;Sosiaaliturvaetuuksien kasittelijat     
3354;Lupavirkamiehet      
3355;Komisariot ja ylikonstaapelit    
3359;Muut julkishallinnon valmistelu- ja valvontavirkamiehet  
Lainopilliset avustajat seka sosiaali- ja kulttuurialan asiantuntijat   
341;Lainopilliset asiantuntijat seka sosiaalialan ja seurakunnan tyontekijat
3411;Lainopilliset avustajat ja jarjestoalan asiantuntijat  
34111;Oikeudenkayntiasiamiehet ja ulosottomiehet    
34112;Asiamiehet, toimitsijat ym. jarjestoalan asiantuntijat  
34113;Kuluttajaneuvojat ym.     
3412;Sosiaalialan ohjaajat ja neuvojat ym.  
34121;Sosiaalialan ohjaajat     
34122;Nuorisotyon ohjaajat (ei srk.)   
34123;Tyon- ja askarteluohjaajat    
3413;Seurakuntatyontekijat      
34131;Diakonit ja diakonissat    
34139;Muut seurakuntatyontekijat     
342;Urheilijat, urheiluvalmentajat, liikunnanohjaajat ym.   
3421;Urheilijat      
3422;Urheiluvalmentajat ja toimitsijat    
3423;Liikunnan ja vapaa-ajan ohjaajat   
343;Taide- ja kulttuurialan asiantuntijat seka keittiopaallikot 
3431;Valokuvaajat      
3432;Sisustussuunnittelijat ym.     
3433;Gallerioiden, museoiden ja kirjastojen tekniset tyontekijat 
3434;Keittiopaallikot      
3435;Muut taide- ja kulttuurialan asiantuntijat  
34351;Kuvaussihteerit ja muut nayttamotekniset asiantuntijat  
34359;Muut taide- ja kulttuurialan tekniset asiantuntijat 
Informaatio- ja tietoliikenneteknologian asiantuntijat    
351;Informaatio- ja tietoliikenneteknologian teknikot seka kayttajatukihenkilot 
3511;Kayton operaattorit     
3512;Kayton tukihenkilot     
3513;Tietoverkkoteknikot      
3514;Webmasterit ja -teknikot
352;Teleliikenne- seka radio- ja tv-teknikot  
3521;Lahetys- ja audiovisuaaliteknikot    
3522;Televiestinnan tekniset asiantuntijat    
Toimisto- ja asiakaspalvelutyontekijat    
Toimistotyontekijat    
411;Toimistoavustajat      
412;Yleissihteerit      
413;Tekstinkasittelijat ja tallentajat    
4131;Tekstinkasittelijat      
4132;Tallentajat      
Asiakaspalvelutyontekijat   
421;Rahaliikenteen asiakaspalvelutyontekijat     
4211;Pankki- ym. toimihenkilot    
4212;Vedonvalittajat, bingo- ja kasinopelin hoitajat ym. 
4213;Panttilainaajat      
4214;Maksujenperijat      
422;Muut asiakaspalvelutyontekijat     
4221;Matkatoimistovirkailijat      
4222;Puhelinpalveluneuvojat      
4223;Puhelinvaihteenhoitajat      
4224;Hotellin vastaanottovirkailijat     
4225;Informaatiopisteen asiakasneuvojat     
4226;Vastaanoton ja neuvonnan hoitajat   
4227;Tutkimus- ja markkinatutkimushaastattelijat    
4229;Muualla luokittelemattomat asiakaspalvelutyontekijat    
42291;Halytyspaivystajat      
42299;Muut muualla luokittelemattomat asiakaspalvelutyontekijat   
Laskennan ja varastoinnin toimistotyontekijat  
